,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
0,race,Asian,Asian,17,5,0.29411764705882354,12,0.7058823529411765,0.05,0.06,-0.1823215567939546,0.022637143186050528
1,race,Black,Black,24,6,0.25,18,0.75,0.06,0.09,-0.40546510810816444,0.022637143186050528
2,race,Hispanic,Hispanic,7,3,0.42857142857142855,4,0.5714285714285714,0.03,0.02,0.4054651081081644,0.022637143186050528
3,race,Unknown,Unknown,26,10,0.38461538461538464,16,0.6153846153846154,0.1,0.08,0.22314355131420976,0.022637143186050528
4,race,White,White,226,76,0.336283185840708,150,0.6637168141592921,0.76,0.75,0.013245226750020723,0.022637143186050528
5,gender,Female,Female,176,44,0.25,132,0.75,0.44,0.66,-0.40546510810816444,0.19898038032997356
6,gender,Male,Male,124,56,0.45161290322580644,68,0.5483870967741935,0.56,0.34,0.4989911661189879,0.19898038032997356
7,Age Group,40-50,40-50,10,4,0.4,6,0.6,0.04,0.03,0.287682072451781,0.03861246006318619
8,Age Group,51-60,51-60,37,14,0.3783783783783784,23,0.6216216216216216,0.14,0.115,0.1967102942460543,0.03861246006318619
9,Age Group,61-70,61-70,93,35,0.3763440860215054,58,0.6236559139784946,0.35,0.29,0.18805223150293962,0.03861246006318619
10,Age Group,71-80,71-80,116,35,0.3017241379310345,81,0.6982758620689655,0.35,0.405,-0.14595391262307997,0.03861246006318619
11,Age Group,81 and Above,81 and Above,44,12,0.2727272727272727,32,0.7272727272727273,0.12,0.16,-0.2876820724517809,0.03861246006318619
12,CKD(t=0),1.0,1.0,17,8,0.47058823529411764,9,0.5294117647058824,0.08,0.045,0.5753641449035619,0.366781687289173
13,CKD(t=0),2.0,2.0,71,31,0.43661971830985913,40,0.5633802816901409,0.31,0.2,0.43825493093115514,0.366781687289173
14,CKD(t=0),3.0,3.0,85,32,0.3764705882352941,53,0.6235294117647059,0.32,0.265,0.18859116980754997,0.366781687289173
15,CKD(t=0),3.5,3.5,100,16,0.16,84,0.84,0.16,0.42,-0.9650808960435869,0.366781687289173
16,CKD(t=0),4.0,4.0,27,13,0.48148148148148145,14,0.5185185185185185,0.13,0.07,0.6190392084062234,0.366781687289173
17,Dieabetes(t=0),0,0,196,70,0.35714285714285715,126,0.6428571428571429,0.7,0.63,0.10536051565782614,0.022055673264792665
18,Dieabetes(t=0),1,1,104,30,0.28846153846153844,74,0.7115384615384616,0.3,0.37,-0.20972053098206914,0.022055673264792665
19,Cholestrol(t=0),0,0,201,71,0.35323383084577115,130,0.6467661691542289,0.71,0.65,0.08829260714567821,0.016580690318917072
20,Cholestrol(t=0),1,1,99,29,0.29292929292929293,70,0.7070707070707071,0.29,0.35,-0.18805223150293973,0.016580690318917072
21,Hyper Tension(t=0),0,0,191,68,0.35602094240837695,123,0.643979057591623,0.68,0.615,0.10047053036363453,0.018550536475747035
22,Hyper Tension(t=0),1,1,109,32,0.29357798165137616,77,0.7064220183486238,0.32,0.385,-0.18492233849401207,0.018550536475747035
23,Hemoglobin(t=0),0,0,235,69,0.2936170212765957,166,0.7063829787234043,0.69,0.83,-0.18473410319933853,0.1099711149079576
24,Hemoglobin(t=0),1,1,65,31,0.47692307692307695,34,0.5230769230769231,0.31,0.17,0.6007738604289301,0.1099711149079576
25,Glucose_baseline,4.0,6.5,150,52,0.3466666666666667,98,0.6533333333333333,0.52,0.49,0.059423420470800806,0.003601441268617073
26,Glucose_baseline,6.6,15.2,150,48,0.32,102,0.68,0.48,0.51,-0.060624621816434854,0.003601441268617073
27,Lipoprotein_baseline,26.1,76.9,100,41,0.41,59,0.59,0.41,0.295,0.3291818033585337,0.058708837699762526
28,Lipoprotein_baseline,77.0,99.8,100,30,0.3,70,0.7,0.3,0.35,-0.15415067982725822,0.058708837699762526
29,Lipoprotein_baseline,100.0,173.2,100,29,0.29,71,0.71,0.29,0.355,-0.20223686649489606,0.058708837699762526
30,SBP_baseline,101.7,133.4,150,59,0.3933333333333333,91,0.6066666666666667,0.59,0.455,0.2598251179488146,0.07350125664335022
31,SBP_baseline,133.5,179.4,150,41,0.2733333333333333,109,0.7266666666666667,0.41,0.545,-0.28462863496489066,0.07350125664335022
32,HGB_baseline,9.2,13.5,101,48,0.4752475247524752,53,0.5247524752475248,0.48,0.265,0.5940562779157144,0.20429662478605937
33,HGB_baseline,13.6,14.8,99,27,0.2727272727272727,72,0.7272727272727273,0.27,0.36,-0.2876820724517808,0.20429662478605937
34,HGB_baseline,14.9,18.1,100,25,0.25,75,0.75,0.25,0.375,-0.40546510810816444,0.20429662478605937
35,Medication Period-Diabetes Type 2,0.0,0.0,184,55,0.29891304347826086,129,0.7010869565217391,0.55,0.645,-0.1593320385692558,0.03766387402652952
36,Medication Period-Diabetes Type 2,1.0,1.0,116,45,0.3879310344827586,71,0.6120689655172413,0.45,0.355,0.2371297932889497,0.03766387402652952
37,Medication Period-High Blood Cholestrol,0.0,0.0,71,23,0.323943661971831,48,0.676056338028169,0.23,0.24,-0.04255961441879589,0.0005563169598614853
38,Medication Period-High Blood Cholestrol,1.0,1.0,229,77,0.33624454148471616,152,0.6637554585152838,0.77,0.76,0.0130720815673527,0.0005563169598614853
39,Medication Period-Hyper Tension,0.0,0.0,128,37,0.2890625,91,0.7109375,0.37,0.455,-0.20679441331268028,0.029896917232976234
40,Medication Period-Hyper Tension,1.0,1.0,172,63,0.36627906976744184,109,0.6337209302325582,0.63,0.545,0.14493402472233424,0.029896917232976234
